% ECDF coordinates
% composite_score ecdf_value
0.23567126 0.03703704
0.23641567 0.07407407
0.24695137 0.11111111
0.26093977 0.14814815
0.26540520 0.18518519
0.26788694 0.22222222
0.28796781 0.25925926
0.29561321 0.29629630
0.31796630 0.33333333
0.31864192 0.37037037
0.32173430 0.40740741
0.32966227 0.44444444
0.33515702 0.48148148
0.34027984 0.51851852
0.34332177 0.55555556
0.36016893 0.59259259
0.36537350 0.62962963
0.36979186 0.66666667
0.37386086 0.70370370
0.38249806 0.74074074
0.39871532 0.77777778
0.40205136 0.81481481
0.40434768 0.85185185
0.42442738 0.88888889
0.42802519 0.92592593
0.46821264 0.96296296
0.51748148 1.00000000
