% Lorenz curve coordinates
% population_share cumulative_score_share
0.0000 0.0000
0.037037 0.025345
0.074074 0.050770
0.111111 0.077328
0.148148 0.105390
0.185185 0.133933
0.222222 0.162742
0.259259 0.193711
0.296296 0.225503
0.333333 0.259698
0.370370 0.293966
0.407407 0.328566
0.444444 0.364019
0.481481 0.400063
0.518519 0.436658
0.555556 0.473580
0.592593 0.512314
0.629630 0.551607
0.666667 0.591376
0.703704 0.631582
0.740741 0.672717
0.777778 0.715596
0.814815 0.758834
0.851852 0.802319
0.888889 0.847964
0.925926 0.893995
0.962963 0.944348
1.000000 1.000000
